index	Field	Intensity
857	3533.675464	3608.621094
858	3533.773216	2310.621094
859	3533.870968	1992.621094
860	3533.968719	2077.621094
861	3534.066471	2534.621094
862	3534.164223	-1140.378906
863	3534.261975	2027.621094
864	3534.359726	1870.621094
865	3534.457478	1779.621094
866	3534.55523	1700.621094
867	3534.652981	3015.621094
868	3534.750733	754.6210938
869	3534.848485	1906.621094
870	3534.946237	1083.621094
871	3535.043988	2387.621094
872	3535.14174	1872.621094
873	3535.239492	2802.621094
874	3535.337243	2541.621094
875	3535.434995	886.6210938
876	3535.532747	1532.621094
877	3535.630499	1322.621094
878	3535.72825	2434.621094
879	3535.826002	3074.621094
880	3535.923754	1550.621094
881	3536.021505	1893.621094
882	3536.119257	3303.621094
883	3536.217009	802.6210938
884	3536.314761	1080.621094
885	3536.412512	1791.621094
886	3536.510264	554.6210938
887	3536.608016	2175.621094
888	3536.705767	1816.621094
889	3536.803519	2401.621094
890	3536.901271	1441.621094
891	3536.999022	1086.621094
892	3537.096774	1650.621094
893	3537.194526	537.6210938
894	3537.292278	2057.621094
895	3537.390029	1781.621094
896	3537.487781	1814.621094
897	3537.585533	3077.621094
898	3537.683284	894.6210938
899	3537.781036	557.6210938
900	3537.878788	1094.621094
901	3537.97654	1514.621094
902	3538.074291	1870.621094
903	3538.172043	2978.621094
904	3538.269795	1293.621094
905	3538.367546	558.6210938
906	3538.465298	2892.621094
907	3538.56305	2252.621094
908	3538.660802	899.6210938
909	3538.758553	1747.621094
910	3538.856305	1417.621094
911	3538.954057	3339.621094
912	3539.051808	2704.621094
913	3539.14956	3149.621094
914	3539.247312	-464.3789063
915	3539.345064	3372.621094
916	3539.442815	3664.621094
917	3539.540567	1051.621094
918	3539.638319	495.6210938
919	3539.73607	3045.621094
920	3539.833822	1772.621094
921	3539.931574	1203.621094
922	3540.029326	1640.621094
923	3540.127077	2434.621094
924	3540.224829	2426.621094
925	3540.322581	2068.621094
926	3540.420332	1149.621094
927	3540.518084	955.6210938
928	3540.615836	2699.621094
929	3540.713587	1303.621094
930	3540.811339	2179.621094
931	3540.909091	2753.621094
932	3541.006843	449.6210938
933	3541.104594	1284.621094
934	3541.202346	2318.621094
935	3541.300098	381.6210938
936	3541.397849	2271.621094
937	3541.495601	3066.621094
938	3541.593353	600.6210938
939	3541.691105	2276.621094
940	3541.788856	3798.621094
941	3541.886608	631.6210938
942	3541.98436	898.6210938
943	3542.082111	3201.621094
944	3542.179863	2386.621094
945	3542.277615	3585.621094
946	3542.375367	2540.621094
947	3542.473118	1516.621094
948	3542.57087	2272.621094
949	3542.668622	1573.621094
950	3542.766373	824.6210938
951	3542.864125	3121.621094
952	3542.961877	1575.621094
953	3543.059629	3425.621094
954	3543.15738	1814.621094
955	3543.255132	1999.621094
956	3543.352884	2025.621094
957	3543.450635	1797.621094
958	3543.548387	1493.621094
959	3543.646139	1519.621094
960	3543.743891	2024.621094
961	3543.841642	1145.621094
962	3543.939394	1214.621094
963	3544.037146	2703.621094
964	3544.134897	225.6210938
965	3544.232649	2492.621094
966	3544.330401	893.6210938
967	3544.428152	1155.621094
968	3544.525904	1401.621094
